Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Date,,,,,
25-11-2022,18512.75,18534.90039,18445.09961,18528.44922,205900
28-11-2022,18562.75,18614.25,18365.59961,18430.55078,206500
29-11-2022,18618.05078,18678.09961,18552.15039,18552.44922,195300
30-11-2022,18758.34961,18816.05078,18616.55078,18625.69922,345600
01-12-2022,18812.5,18887.59961,18778.19922,18871.94922,325000
02-12-2022,18696.09961,18781.94922,18639.19922,18752.40039,254400
05-12-2022,18701.05078,18728.59961,18591.34961,18719.55078,288400
06-12-2022,18642.75,18654.90039,18577.90039,18600.65039,217800
07-12-2022,18560.5,18668.30078,18528.40039,18638.84961,200500
08-12-2022,18609.34961,18625,18536.94922,18570.84961,202800
09-12-2022,18496.59961,18664.69922,18410.09961,18662.40039,215800
12-12-2022,18497.15039,18521.55078,18345.69922,18402.15039,193900
13-12-2022,18608,18617.25,18490.19922,18524.40039,187600
14-12-2022,18660.30078,18696.09961,18632.90039,18671.25,208000
15-12-2022,18414.90039,18652.90039,18387.69922,18614.40039,183100
16-12-2022,18269,18440.94922,18255.15039,18319.09961,277700
19-12-2022,18420.44922,18431.65039,18244.55078,18288.09961,154800
20-12-2022,18385.30078,18404.90039,18202.65039,18340.30078,169000
21-12-2022,18199.09961,18473.34961,18162.75,18435.15039,187600
22-12-2022,18127.34961,18318.75,18068.59961,18288.80078,195700
23-12-2022,17806.80078,18050.44922,17779.5,17977.65039,221500
26-12-2022,18014.59961,18084.09961,17774.25,17830.40039,176700
27-12-2022,18132.30078,18149.25,17967.44922,18089.80078,214300
28-12-2022,18122.5,18173.09961,18068.34961,18084.75,193900
29-12-2022,18191,18229.69922,17992.80078,18045.69922,281100
30-12-2022,18105.30078,18265.25,18080.30078,18259.09961,192000
02-01-2023,18197.44922,18215.15039,18086.5,18131.69922,256100
03-01-2023,18232.55078,18251.94922,18149.80078,18163.19922,208700
04-01-2023,18042.94922,18243,18020.59961,18230.65039,235200
05-01-2023,17992.15039,18120.30078,17892.59961,18101.94922,269900
06-01-2023,17859.44922,18047.40039,17795.55078,18008.05078,238200
09-01-2023,18101.19922,18141.40039,17936.15039,17952.55078,257200
10-01-2023,17914.15039,18127.59961,17856,18121.30078,283300
11-01-2023,17895.69922,17976.34961,17824.34961,17924.25,259900
12-01-2023,17858.19922,17945.80078,17761.65039,17920.84961,227800
13-01-2023,17956.59961,17999.34961,17774.25,17867.5,256700
16-01-2023,17894.84961,18049.65039,17853.65039,18033.15039,206200
17-01-2023,18053.30078,18072.05078,17886.94922,17922.80078,219100
18-01-2023,18165.34961,18183.75,18032.44922,18074.30078,255800
19-01-2023,18107.84961,18155.19922,18063.75,18119.80078,237800
20-01-2023,18027.65039,18145.44922,18016.19922,18115.59961,237200
23-01-2023,18118.55078,18162.59961,18063.44922,18118.44922,202500
24-01-2023,18118.30078,18201.25,18078.65039,18183.94922,216900
25-01-2023,17891.94922,18100.59961,17846.15039,18093.34961,257200
27-01-2023,17604.34961,17884.75,17493.55078,17877.19922,476300
30-01-2023,17648.94922,17709.15039,17405.55078,17541.94922,432400
31-01-2023,17662.15039,17735.69922,17537.55078,17731.44922,398300
